Date,Open,High,Low,Close,Adj Close,Volume
2009-12-01,16.317499,16.655001,15.437500,16.517500,14.045087,214435200
2010-01-01,16.514999,16.517500,15.737500,15.937500,13.608127,183847600
2010-02-01,15.992500,16.962500,15.222500,16.900000,14.429951,196404000
2010-03-01,16.977501,18.837500,16.815001,18.375000,15.689369,245335600
2010-04-01,18.490000,19.632500,18.264999,18.977501,16.268761,199108000
2010-05-01,19.002501,19.637501,16.747499,18.094999,15.512219,370556400
2010-06-01,17.860001,18.980000,16.825001,16.887501,14.477073,306146800
2010-07-01,16.972500,18.527500,16.584999,18.410000,15.840848,268348800
2010-08-01,18.597500,18.750000,17.080000,17.500000,15.057840,221693200
2010-09-01,17.782499,20.424999,17.705000,20.035000,17.239082,283139600
2010-10-01,20.240000,20.850000,19.760000,20.360001,17.584545,222612800
2010-11-01,20.469999,21.742500,20.065001,21.532499,18.597204,189888800
2010-12-01,21.870001,23.122499,21.280001,21.355000,18.443899,212482800
2011-01-01,21.457500,21.645000,20.252501,20.620001,17.872314,181603600
2011-02-01,20.687500,22.290001,20.655001,22.257500,19.291616,177180400
2011-03-01,22.412500,22.780001,17.357500,18.924999,16.403177,425141200
2011-04-01,18.985001,20.682501,18.955000,20.580000,17.900463,223100800
2011-05-01,20.695000,21.632500,20.352501,21.112499,18.363636,197235200
2011-06-01,21.084999,22.645000,19.860001,22.495001,19.566132,337338800
2011-07-01,22.412500,23.557501,22.137501,22.537500,19.677355,241526400
2011-08-01,22.605000,22.615000,19.245001,21.662500,18.913397,346141200
2011-09-01,21.587500,23.139999,20.049999,21.377501,18.664568,327130000
2011-10-01,21.237499,24.420000,20.252501,24.087500,21.106167,232694800
2011-11-01,23.377501,24.375000,22.447500,24.045000,21.068918,196018400
2011-12-01,23.840000,24.562500,23.222500,24.092501,21.110540,221889600
2012-01-01,24.342501,26.235001,24.127501,25.997499,22.865337,193462000
2012-02-01,26.102501,27.070000,25.642500,26.980000,23.729467,148473600
2012-03-01,27.222500,28.242500,26.517500,27.110001,23.843809,230840400
2012-04-01,27.105000,28.000000,26.482500,27.967501,24.680326,178009200
2012-05-01,27.977501,28.702499,26.067499,27.045000,23.866251,205013600
2012-06-01,26.572500,27.477501,21.275000,21.945000,19.430088,339438800
2012-07-01,22.097500,24.437500,22.007500,23.337500,20.663012,277826000
2012-08-01,23.377501,24.822500,22.760000,24.340000,21.550619,212740400
2012-09-01,24.297501,25.230000,23.197500,23.727501,21.085224,252478000
2012-10-01,23.727501,24.525000,22.580000,22.844999,20.301006,198277200
2012-11-01,22.975000,25.082500,22.412500,24.370001,21.656176,188968400
2012-12-01,24.415001,26.557501,24.152500,25.799999,22.926933,187460200
2013-01-01,26.200001,27.785000,25.700001,27.025000,24.119226,149268200
2013-02-01,27.230000,27.950001,26.750000,27.230000,24.302176,123347800
2013-03-01,27.209999,30.125000,26.635000,29.504999,26.434729,197793600
2013-04-01,29.500000,31.885000,28.990000,31.799999,28.490913,147312200
2013-05-01,31.780001,33.035000,30.780001,30.830000,27.621853,143206000
2013-06-01,30.799999,32.035000,29.555000,31.840000,28.622261,179310200
2013-07-01,31.969999,32.330002,30.950001,31.459999,28.280661,139193800
2013-08-01,31.620001,33.424999,31.299999,31.410000,28.235718,136639400
2013-09-01,31.805000,37.625000,31.750000,36.320000,32.758080,226198200
2013-10-01,36.520000,38.445000,34.980000,37.880001,34.165096,178418000
2013-11-01,37.900002,39.935001,37.790001,39.570000,35.689342,102247600
2013-12-01,39.735001,40.130001,37.709999,39.320000,35.463867,162278800
2014-01-01,39.075001,39.415001,35.755001,36.424999,32.955715,167970600
2014-02-01,36.380001,39.529999,34.924999,39.150002,35.421158,136880200
2014-03-01,38.814999,40.044998,36.505001,36.930000,33.515179,178531800
2014-04-01,37.009998,37.590000,35.299999,36.474998,33.102268,166126400
2014-05-01,36.404999,38.465000,35.764999,38.455002,34.899166,113444000
2014-06-01,38.494999,39.575001,36.570000,38.775002,35.300659,165319600
2014-07-01,38.865002,39.970001,38.150002,38.564999,35.109474,134401800
2014-08-01,38.270000,40.150002,37.950001,39.275002,35.755859,115312800
2014-09-01,39.174999,45.145000,39.174999,44.599998,40.726337,217202400
2014-10-01,44.455002,47.070000,41.924999,46.485001,42.447628,183619800
2014-11-01,46.674999,49.880001,46.310001,49.645000,45.333157,99490000
2014-12-01,49.330002,49.750000,46.415001,48.075001,43.899513,168706000
2015-01-01,48.275002,48.724998,46.014999,46.125000,42.239990,130906000
2015-02-01,46.340000,48.705002,45.345001,48.560001,44.469906,138933400
2015-03-01,48.445000,51.895000,47.590000,50.165001,46.072952,189358200
2015-04-01,50.000000,51.000000,49.070000,49.419998,45.388725,112486800
2015-05-01,49.939999,52.750000,49.705002,50.834999,46.688301,114083800
